"","x"
"477","TNN"
"478","LAYN"
"479","DLK1"
"480","LRP1"
"481","TRPV1"
"482","NTRK1"
"483","CD226"
"484","GHSR"
"485","LBP"
"486","ITGAE"
"487","IFNGR1"
"488","CDH1"
"489","C1QBP"
"490","ADAM3A"
"491","THBD"
"492","IL7R"
"493","CD53"
"494","FCGR2A"
"495","ENPEP"
"496","HYAL2"
"497","CXCR4"
"498","ICAM2"
"499","OCLN"
"500","NCOR2"
"501","IL1R1"
"502","CD1D"
"503","LY9"
"504","CD68"
"505","GPR65"
"506","MUC1"
"507","NDP"
"508","B2M"
"509","PTGER2"
"510","LY75"
"511","RAPSN"
"512","KDR"
"513","AOC3"
"514","KCNE2"
"515","IL27RA"
"516","PDCD1"
"517","EPHB4"
"518","SCUBE1"
"519","IL4"
"520","VPREB1"
"521","CASR"
"522","LAG3"
"523","CXCR3"
"524","CD70"
"525","CD244"
"526","CX3CR1"
"527","PLA2R1"
"528","FGF22"
"529","IL6"
"530","GABRR1"
"531","KLRC2"
"532","PDGFB"
"533","MRC1"
"534","IL21R"
"535","KISS1R"
"536","KLRK1"
"537","ITGA2"
"538","CD33"
"539","CD19"
"540","ITGB2"
"541","FSHR"
"542","FUT4"
"543","TDGF1"
"544","FOLR1"
"545","LRP6"
"546","SFRP4"
"547","EMR1"
"548","CTSL1"
"549","STX4"
"550","HAVCR2"
"551","AMELX"
"552","FOLR2"
"553","FGF8"
"554","NOTCH2"
"555","CD6"
"556","SLC6A1"
"557","ADAMTS7"
"558","CD27"
"559","TNFRSF14"
"560","PLAUR"
"561","TREML1"
"562","GPIHBP1"
"563","GPR160"
"564","TMEM102"
"565","SLAMF7"
"566","ERP29"
"567","AAMP"
"568","NLGN2"
"569","PTPN3"
"570","BTLA"
"571","BSG"
"572","PPFIA2"
"573","PKD2L1"
"574","VTCN1"
"575","ROBO2"
"576","CD52"
"577","MSLN"
"578","KLRD1"
"579","FAS"
"580","THBS1"
"581","ARSA"
"582","ADAM2"
"583","ENTPD6"
"584","CD164"
"585","CD320"
"586","ENTPD5"
"587","CD248"
"588","CAP1"
"589","AMN"
"590","SIVA1"
"591","TRAF3"
"592","MS4A6A"
"593","CD47"
"594","ABCB1"
"595","IGLL1"
"596","CD160"
"597","IDO1"
"598","PROCR"
"599","CD2AP"
"600","IL18R1"
"601","TNFRSF8"
"602","CXCR5"
"603","TNFRSF10B"
"604","ABCG2"
"605","ICAM4"
"606","ENTPD1"
"607","GYPC"
"608","CD99L2"
"609","PRR3"
"610","SLC3A2"
"611","CAST"
"612","NT5E"
"613","PGP"
"614","CCND2"
"615","CD3EAP"
"616","SCO1"
"617","DARC"
"618","SLC44A1"
"619","PTGFRN"
"620","LSM1"
"621","CTSD"
"622","PRNP"
"623","GSS"
"624","PTPRCAP"
"625","CD2BP2"
"626","PVRL3"
"627","CD200"
"628","CD302"
"629","IFNAR1"
"630","TLR1"
"631","CD5L"
"632","CCR6"
"633","PEMT"
"634","LAP3"
"635","PLXNC1"
"636","SCARB2"
"637","IL13RA1"
"638","SP1"
"639","CD151"
"640","TNFSF10"
"641","IGSF8"
"642","TIGIT"
"643","IL12A"
"644","SPP1"
"645","TNFSF18"
"646","OSM"
"647","LIF"
"648","BMP3"
"649","WNT2"
"650","SLURP1"
"651","GDF1"
"652","CRLF1"
"653","IL17F"
"654","GDF15"
"655","IL17C"
"656","GDF7"
"657","GDF6"
"658","GDF5"
"659","TSLP"
"660","GDF3"
"661","IL23A"
"662","CCL1"
"663","GREM2"
"664","IL1A"
"665","BMP15"
"666","IL1B"
"667","IFNK"
"668","IL27"
"669","BMP7"
"670","GDF11"
"671","EBI3"
"672","GPI"
"673","IL7"
"674","TNFSF15"
"675","LEFTY2"
"676","LEFTY1"
"677","TNFSF8"
"678","CTF1"
"679","CTF2P"
"680","CSF1"
"681","IL18"
"682","BMP6"
"683","IL17B"
"684","KITLG"
"685","LTB"
"686","IL33"
"687","LTA"
"688","MSTN"
"689","BMP1"
"690","EDN1"
"691","NODAL"
"692","IL9"
"693","IL25"
"694","CMTM5"
"695","TNFSF14"
"696","CLCF1"
"697","IL31"
"698","TNFSF13B"
"699","CER1"
"700","FAM3B"
"701","BMP8B"
"702","BMP8A"
"703","IL36B"
"704","IL36G"
"705","IL36A"
"706","IL36RN"
"707","IL1F10"
"708","CCL17"
"709","NAMPT"
"710","IL12B"
"711","IL22"
"712","IL11"
"713","GRN"
"714","IFNB1"
"715","IFNA1"
"716","TNFSF11"
"717","IFNW1"
"718","IFNE"
"719","CMTM6"
"720","CMTM7"
"721","CMTM2"
"722","CMTM8"
"723","CMTM3"
"724","CMTM4"
"725","C1QTNF4"
"726","SCGB3A1"
"727","IL16"
"728","IL17D"
"729","SCG2"
"730","GDF10"
"731","GDF2"
"732","PGLYRP1"
"733","CCL20"
"734","INHBA"
"735","IL34"
"736","AREG"
"737","TNFSF12"
"738","TNFSF12-TNFSF13"
"739","TNFSF13"
"740","GDF9"
"741","IL5"
"742","THPO"
"743","CSF2"
"744","IL3"
"745","BMP4"
"746","CCL24"
"747","IL2"
"748","IL21"
"749","FGF2"
"750","CSF3"
"751","IL24"
"752","IL20"
"753","IL19"
"754","IL10"
"755","BMP5"
"756","CCL27"
"757","CXCL13"
"758","CCL28"
"759","CCL21"
"760","CCL19"
"761","XCL1"
"762","CXCL16"
"763","CCL2"
"764","CCL7"
"765","CCL11"
"766","CCL5"
"767","CCL3"
"768","CCL4"
"769","CXCL14"
"770","CCL25"
"771","CCL22"
"772","CKLF"
"773","GRAMD2"
"774","CXCL6"
"775","PPBP"
"776","PF4"
"777","CXCL3"
"778","CXCL1"
"779","CXCL2"
"780","CXCL11"
"781","CCL26"
"782","TRPM4"
"783","FLT1"
"784","MYO9B"
"785","CALCA"
"786","PTPRO"
"787","RAC1"
"788","CXADR"
"789","PRKCA"
"790","SLC37A4"
